date,category,region,sales,units_sold,discount,profit
2021-01-01,Electronics,North,13724,27,0.15,1800.64
2021-01-01,Electronics,South,11867,45,0.01,3242.48
2021-01-01,Electronics,East,12164,58,0.24,3241.57
2021-01-01,Electronics,West,13373,46,0.05,1827.83
2021-01-01,Clothing,North,8970,24,0.07,1994.66
2021-01-01,Clothing,South,6775,26,0.07,1173.92
2021-01-01,Clothing,East,8044,28,0.13,1757.48
2021-01-01,Clothing,West,8248,37,0.15,1106.1
2021-01-01,Grocery,North,15707,33,0.11,1954.07
2021-01-01,Grocery,South,14649,36,0.01,4129.03
2021-01-01,Grocery,East,14388,44,0.13,3012.01
2021-01-01,Grocery,West,14211,51,0.24,3624.18
2021-01-01,Furniture,North,5824,24,0.05,635.08
2021-01-01,Furniture,South,5068,15,0.1,781.84
2021-01-01,Furniture,East,4334,13,0.14,555.55
2021-01-01,Furniture,West,5693,10,0.02,1692.97
2021-01-01,Sports,North,6242,30,0.2,1506.64
2021-01-01,Sports,South,6293,12,0.19,722.49
2021-01-01,Sports,East,5037,9,0.16,837.05
2021-01-01,Sports,West,6144,27,0.08,1013.99
2021-01-02,Electronics,North,17572,31,0.12,2177.5
2021-01-02,Electronics,South,16627,34,0.19,3529.17
2021-01-02,Electronics,East,13461,32,0.11,1414.53
2021-01-02,Electronics,West,17721,72,0.01,4027.67
2021-01-02,Clothing,North,11080,19,0.06,2017.41
2021-01-02,Clothing,South,8409,16,0.06,970.36
2021-01-02,Clothing,East,8417,14,0.2,1907.97
2021-01-02,Clothing,West,10078,18,0.2,1383.85
2021-01-02,Grocery,North,20785,39,0.22,3400.44
2021-01-02,Grocery,South,20202,82,0.06,3745.89
2021-01-02,Grocery,East,17274,85,0.13,3169.47
2021-01-02,Grocery,West,20098,69,0.03,3366.88
2021-01-02,Furniture,North,6786,16,0.18,1172.12
2021-01-02,Furniture,South,6452,10,0.24,970.1
2021-01-02,Furniture,East,4761,15,0.01,1056.53
2021-01-02,Furniture,West,6548,16,0.01,1019.72
2021-01-02,Sports,North,8123,31,0.12,2413.59
2021-01-02,Sports,South,7680,25,0.17,1937.85
2021-01-02,Sports,East,7177,20,0.16,1627.07
2021-01-02,Sports,West,7302,17,0.02,1950.08
2021-01-03,Electronics,North,15192,70,0.15,3577.91
2021-01-03,Electronics,South,14320,69,0.13,2080.68
2021-01-03,Electronics,East,12352,25,0.1,3549.3
2021-01-03,Electronics,West,16346,64,0.09,2005.57
2021-01-03,Clothing,North,11715,22,0.14,2412.47
2021-01-03,Clothing,South,9015,30,0.02,2519.18
2021-01-03,Clothing,East,9187,27,0.09,2252.57
2021-01-03,Clothing,West,11156,19,0.22,2855.66
2021-01-03,Grocery,North,19502,73,0.22,4315.52
2021-01-03,Grocery,South,19098,93,0.03,4444.11
2021-01-03,Grocery,East,19393,42,0.06,4701.56
2021-01-03,Grocery,West,20433,69,0.08,5093.91
2021-01-03,Furniture,North,7404,15,0.14,879.11
2021-01-03,Furniture,South,6456,18,0.07,960.64
2021-01-03,Furniture,East,5590,10,0.16,1447.6
2021-01-03,Furniture,West,6741,16,0.14,1338.11
2021-01-03,Sports,North,8662,27,0.01,1984.42
2021-01-03,Sports,South,6985,25,0.24,2031.14
2021-01-03,Sports,East,6629,32,0.23,1230.59
2021-01-03,Sports,West,8324,14,0.24,2252.49
2021-01-04,Electronics,North,12305,22,0.08,1647.62
2021-01-04,Electronics,South,10545,24,0.23,2522.43
2021-01-04,Electronics,East,10036,22,0.25,1284.78
2021-01-04,Electronics,West,12754,31,0.22,3164.95
2021-01-04,Clothing,North,9562,27,0.07,2504.02
2021-01-04,Clothing,South,8674,16,0.22,2451.69
2021-01-04,Clothing,East,7496,14,0.16,1801.99
2021-01-04,Clothing,West,10989,21,0.22,1841.75
2021-01-04,Grocery,North,15479,35,0.01,2989.3
2021-01-04,Grocery,South,14715,35,0.07,3210.32
2021-01-04,Grocery,East,12990,51,0.13,3299.44
2021-01-04,Grocery,West,17122,59,0.16,2004.46
2021-01-04,Furniture,North,5520,13,0.16,1353.6
2021-01-04,Furniture,South,4739,8,0.13,780.0
2021-01-04,Furniture,East,4261,11,0.02,447.7
2021-01-04,Furniture,West,5608,9,0.21,1341.4
2021-01-04,Sports,North,5966,22,0.06,1251.94
2021-01-04,Sports,South,5839,12,0.17,910.81
2021-01-04,Sports,East,6316,17,0.06,1081.26
2021-01-04,Sports,West,6820,13,0.0,840.32
2021-01-05,Electronics,North,13668,35,0.02,2710.68
2021-01-05,Electronics,South,12743,32,0.04,2380.01
2021-01-05,Electronics,East,12210,26,0.01,2135.8
2021-01-05,Electronics,West,11158,24,0.13,3027.14
2021-01-05,Clothing,North,8109,35,0.16,853.9
2021-01-05,Clothing,South,8295,19,0.24,1784.21
2021-01-05,Clothing,East,8113,21,0.14,2338.92
2021-01-05,Clothing,West,7568,21,0.24,2127.14
2021-01-05,Grocery,North,16870,73,0.08,4537.61
2021-01-05,Grocery,South,14252,68,0.2,2228.6
2021-01-05,Grocery,East,13885,30,0.22,3429.79
2021-01-05,Grocery,West,14876,28,0.07,2015.52
2021-01-05,Furniture,North,5828,9,0.1,1016.42
2021-01-05,Furniture,South,5244,10,0.09,1500.58
2021-01-05,Furniture,East,4421,8,0.19,533.28
2021-01-05,Furniture,West,5711,10,0.13,1515.08
2021-01-05,Sports,North,6960,19,0.0,1956.29
2021-01-05,Sports,South,5851,24,0.08,1696.86
2021-01-05,Sports,East,5441,12,0.11,863.17
2021-01-05,Sports,West,6599,19,0.17,1652.88
2021-01-06,Electronics,North,13859,58,0.12,1545.44
2021-01-06,Electronics,South,12603,30,0.11,3497.85
2021-01-06,Electronics,East,10086,39,0.19,2255.67
2021-01-06,Electronics,West,12276,51,0.02,2948.62
2021-01-06,Clothing,North,8468,36,0.25,1480.67
2021-01-06,Clothing,South,8148,23,0.2,2358.44
2021-01-06,Clothing,East,6786,13,0.14,1254.35
2021-01-06,Clothing,West,8256,14,0.03,1639.02
2021-01-06,Grocery,North,16475,74,0.03,2034.75
2021-01-06,Grocery,South,14653,31,0.19,3174.92
2021-01-06,Grocery,East,13382,42,0.22,1936.63
2021-01-06,Grocery,West,16256,27,0.0,4778.87
2021-01-06,Furniture,North,5598,24,0.14,1645.03
2021-01-06,Furniture,South,5005,12,0.16,1196.94
2021-01-06,Furniture,East,5275,12,0.23,575.45
2021-01-06,Furniture,West,4927,15,0.24,1369.97
2021-01-06,Sports,North,7756,24,0.05,1494.89
2021-01-06,Sports,South,5612,16,0.15,648.45
2021-01-06,Sports,East,5547,17,0.2,1314.34
2021-01-06,Sports,West,7245,27,0.23,1916.36
2021-01-07,Electronics,North,11805,20,0.22,1287.26
2021-01-07,Electronics,South,13758,65,0.09,3606.12
2021-01-07,Electronics,East,9319,15,0.21,2494.38
2021-01-07,Electronics,West,13964,36,0.1,2159.97
2021-01-07,Clothing,North,8803,17,0.24,2376.19
2021-01-07,Clothing,South,8030,26,0.11,1010.43
2021-01-07,Clothing,East,7269,24,0.17,1625.53
2021-01-07,Clothing,West,8745,25,0.03,2049.08
2021-01-07,Grocery,North,18547,45,0.21,3901.94
2021-01-07,Grocery,South,15138,35,0.22,2735.38
2021-01-07,Grocery,East,14197,29,0.05,1806.91
2021-01-07,Grocery,West,17474,84,0.09,3809.04
2021-01-07,Furniture,North,4979,8,0.09,1009.73
2021-01-07,Furniture,South,4184,8,0.1,938.96
2021-01-07,Furniture,East,3886,10,0.25,771.46
2021-01-07,Furniture,West,5226,15,0.16,773.6
2021-01-07,Sports,North,6793,24,0.09,1897.68
2021-01-07,Sports,South,5548,14,0.17,746.01
2021-01-07,Sports,East,5170,19,0.02,641.74
2021-01-07,Sports,West,5900,15,0.05,1019.84
2021-01-08,Electronics,North,15274,70,0.2,3445.51
2021-01-08,Electronics,South,12033,51,0.22,3419.47
2021-01-08,Electronics,East,10702,20,0.19,1465.15
2021-01-08,Electronics,West,12377,43,0.09,2437.09
2021-01-08,Clothing,North,7733,20,0.19,830.03
2021-01-08,Clothing,South,8874,29,0.18,2476.21
2021-01-08,Clothing,East,8973,36,0.11,1853.13
2021-01-08,Clothing,West,9152,30,0.07,1605.78
2021-01-08,Grocery,North,15646,63,0.22,3422.07
2021-01-08,Grocery,South,13702,29,0.2,2736.13
2021-01-08,Grocery,East,13583,31,0.19,2530.95
2021-01-08,Grocery,West,14664,58,0.07,2531.25
2021-01-08,Furniture,North,5907,17,0.25,1306.36
2021-01-08,Furniture,South,5763,19,0.03,752.49
2021-01-08,Furniture,East,4265,15,0.07,574.39
2021-01-08,Furniture,West,5045,9,0.02,1033.73
2021-01-08,Sports,North,6742,27,0.1,1981.43
2021-01-08,Sports,South,5975,10,0.2,905.69
2021-01-08,Sports,East,5616,9,0.14,1203.64
2021-01-08,Sports,West,5807,18,0.19,797.93
2021-01-09,Electronics,North,15492,38,0.06,1905.01
2021-01-09,Electronics,South,12834,28,0.07,2775.32
2021-01-09,Electronics,East,13428,32,0.01,2246.78
2021-01-09,Electronics,West,14224,56,0.02,4238.64
2021-01-09,Clothing,North,11885,39,0.17,2995.56
2021-01-09,Clothing,South,9538,21,0.12,1739.43
2021-01-09,Clothing,East,9415,17,0.24,1175.55
2021-01-09,Clothing,West,10329,20,0.23,1407.29
2021-01-09,Grocery,North,20767,48,0.21,2657.23
2021-01-09,Grocery,South,18516,35,0.05,2457.65
2021-01-09,Grocery,East,17407,37,0.13,2989.93
2021-01-09,Grocery,West,19024,34,0.1,5009.4
2021-01-09,Furniture,North,5754,14,0.08,1435.75
2021-01-09,Furniture,South,5745,14,0.06,1608.11
2021-01-09,Furniture,East,5998,10,0.16,740.03
2021-01-09,Furniture,West,5401,9,0.16,901.87
2021-01-09,Sports,North,8473,18,0.13,2362.09
2021-01-09,Sports,South,7250,14,0.04,1177.0
2021-01-09,Sports,East,7198,33,0.14,1817.44
2021-01-09,Sports,West,7335,13,0.09,1938.28
2021-01-10,Electronics,North,16143,31,0.04,2354.46
2021-01-10,Electronics,South,13825,28,0.18,3155.27
2021-01-10,Electronics,East,13946,46,0.09,1901.11
2021-01-10,Electronics,West,18114,32,0.15,3263.6
2021-01-10,Clothing,North,11575,44,0.15,2328.63
2021-01-10,Clothing,South,9955,22,0.0,2731.9
2021-01-10,Clothing,East,9078,18,0.23,2191.86
2021-01-10,Clothing,West,11109,42,0.14,2458.9
2021-01-10,Grocery,North,23253,40,0.23,4421.97
2021-01-10,Grocery,South,17983,73,0.25,4815.48
2021-01-10,Grocery,East,16950,38,0.1,1880.64
2021-01-10,Grocery,West,21410,64,0.2,2160.83
2021-01-10,Furniture,North,6318,15,0.23,1069.44
2021-01-10,Furniture,South,5422,16,0.18,1032.59
2021-01-10,Furniture,East,5508,21,0.04,1099.8
2021-01-10,Furniture,West,5773,15,0.23,995.72
2021-01-10,Sports,North,9470,46,0.17,1284.2
2021-01-10,Sports,South,8175,13,0.04,1495.41
2021-01-10,Sports,East,8139,35,0.19,1155.58
2021-01-10,Sports,West,7912,14,0.05,1092.94
2021-01-11,Electronics,North,13165,30,0.02,3358.46
2021-01-11,Electronics,South,11478,30,0.13,2159.61
