order_id,restaurant_id,city,cuisine,order_date,items_ordered,order_value,discount_amt,final_amount,delivery_time,order_rating,price_category,rest_type
ORD000001,R01739,Delhi,Chinese,2023-12-08,3,308,0,308,43,,Budget,Cloud Kitchen
ORD000002,R00816,Lucknow,North Indian,2024-04-12,1,392,0,392,53,,Mid-Range,Casual Dining
ORD000003,R00072,Pune,Desserts,2023-05-31,3,821,246,575,69,,Mid-Range,Quick Bites
ORD000004,R00914,Delhi,South Indian,2023-12-10,1,959,95,864,68,4.5,Premium,Fine Dining
ORD000005,R01844,Lucknow,Italian,2023-10-23,2,551,55,496,74,,Mid-Range,Fine Dining
ORD000006,R01317,Jaipur,Mexican,2024-08-01,3,1128,0,1128,26,4.3,Mid-Range,Cloud Kitchen
ORD000007,R01270,Jaipur,Fast Food,2023-06-30,1,226,0,226,83,,Mid-Range,Quick Bites
ORD000008,R00048,Delhi,Desserts,2023-12-16,5,1844,0,1844,51,3.2,Mid-Range,Casual Dining
ORD000009,R01178,Chennai,Continental,2024-03-21,5,695,0,695,53,3.6,Budget,Quick Bites
ORD000010,R00425,Ahmedabad,South Indian,2023-08-09,5,1247,0,1247,31,3.3,Mid-Range,Fine Dining
ORD000011,R01082,Kolkata,Continental,2023-04-29,5,569,170,399,47,3.4,Budget,Cloud Kitchen
ORD000012,R00730,Delhi,Thai,2024-06-18,4,553,0,553,61,4.0,Budget,Quick Bites
ORD000013,R00196,Kolkata,Desserts,2023-03-01,3,904,271,633,42,3.7,Mid-Range,Cloud Kitchen
ORD000014,R01154,Lucknow,Desserts,2023-11-24,3,1234,370,864,74,,Mid-Range,Quick Bites
ORD000015,R00425,Ahmedabad,South Indian,2024-06-08,2,412,0,412,40,3.3,Mid-Range,Fine Dining
ORD000016,R01493,Lucknow,Desserts,2023-08-21,3,345,0,345,72,,Budget,Quick Bites
ORD000017,R00750,Chennai,Chinese,2024-04-20,1,143,0,143,46,,Budget,Cafe
ORD000018,R00187,Kolkata,Mexican,2023-12-13,2,689,137,552,42,,Mid-Range,Dhaba
ORD000019,R01756,Hyderabad,Italian,2023-07-04,1,69,6,63,54,,Budget,Cloud Kitchen
ORD000020,R00786,Lucknow,Chinese,2023-05-10,5,759,75,684,27,3.0,Budget,Casual Dining
ORD000021,R00625,Bangalore,Desserts,2023-04-04,5,2021,606,1415,45,4.0,Mid-Range,Casual Dining
ORD000022,R01046,Hyderabad,Thai,2024-04-04,5,2232,0,2232,19,4.4,Premium,Casual Dining
ORD000023,R00784,Pune,Continental,2023-10-28,1,209,20,189,35,,Mid-Range,Casual Dining
ORD000024,R00709,Kolkata,Fast Food,2023-10-15,2,130,26,104,46,,Budget,Cafe
ORD000025,R01376,Delhi,Mexican,2023-03-30,3,652,0,652,32,4.1,Mid-Range,Casual Dining
ORD000026,R01171,Kolkata,Chinese,2024-12-02,4,552,55,497,46,3.2,Budget,Quick Bites
ORD000027,R01489,Chennai,Continental,2024-09-01,4,918,0,918,28,3.5,Mid-Range,Cloud Kitchen
ORD000028,R01700,Hyderabad,Desserts,2024-09-19,3,990,99,891,39,,Mid-Range,Casual Dining
ORD000029,R00338,Pune,Italian,2024-05-12,5,1014,101,913,52,4.0,Budget,Cafe
ORD000030,R01526,Chennai,North Indian,2023-01-07,3,2134,640,1494,54,4.1,Premium,Casual Dining
ORD000031,R00013,Pune,Continental,2024-01-20,4,667,66,601,60,3.4,Budget,Cafe
ORD000032,R01694,Kolkata,South Indian,2024-01-26,4,1131,0,1131,45,2.9,Mid-Range,Quick Bites
