restaurant_id,name,city,area,cuisine,price_category,rest_type,avg_cost_two,rating,votes,avg_delivery_time,is_veg,discount_pct,online_order
R00001,Restaurant_1,Kolkata,Connaught Place,Italian,Budget,Cloud Kitchen,357,4.1,3,44,True,20,True
R00002,Restaurant_2,Kolkata,Connaught Place,Fast Food,Premium,Fine Dining,1364,4.7,131,47,False,0,True
R00003,Restaurant_3,Mumbai,Bandra,"Chinese, North Indian",Premium,Cloud Kitchen,1795,4.4,46,42,False,50,False
R00004,Restaurant_4,Pune,Malviya Nagar,"South Indian, Italian",Mid-Range,Quick Bites,538,3.9,621,54,False,0,True
R00005,Restaurant_5,Kolkata,Connaught Place,Italian,Mid-Range,Casual Dining,656,4.4,340,28,False,0,True
R00006,Restaurant_6,Kolkata,Gomti Nagar,Continental,Mid-Range,Cloud Kitchen,465,3.9,825,25,False,0,True
R00007,Restaurant_7,Kolkata,Jubilee Hills,South Indian,Budget,Quick Bites,236,3.2,123,43,False,10,False
R00008,Restaurant_8,Kolkata,Salt Lake,"Italian, Continental",Mid-Range,Quick Bites,624,3.6,136,21,False,10,True
R00009,Restaurant_9,Hyderabad,Salt Lake,"Thai, Chinese, Mexican",Mid-Range,Quick Bites,600,4.6,977,55,True,20,True
R00010,Restaurant_10,Hyderabad,Koramangala,Fast Food,Budget,Casual Dining,397,3.5,539,45,False,20,True
R00011,Restaurant_11,Pune,Kothrud,Continental,Premium,Cafe,1053,4.2,588,35,False,0,True
R00012,Restaurant_12,Hyderabad,Koramangala,"Fast Food, Desserts, South Indian",Budget,Fine Dining,329,3.0,1113,46,False,10,True
R00013,Restaurant_13,Pune,Koramangala,Continental,Budget,Cafe,332,3.7,424,52,True,10,True
R00014,Restaurant_14,Bangalore,Navrangpura,"North Indian, Biryani",Budget,Casual Dining,372,2.7,222,48,True,10,True
R00015,Restaurant_15,Lucknow,Kothrud,"South Indian, Fast Food, Continental",Budget,Quick Bites,314,4.4,168,41,True,0,True
R00016,Restaurant_16,Mumbai,Salt Lake,Thai,Mid-Range,Cloud Kitchen,769,3.1,626,38,False,0,True
R00017,Restaurant_17,Lucknow,Salt Lake,Chinese,Premium,Casual Dining,1941,4.5,164,35,False,20,True
R00018,Restaurant_18,Bangalore,Salt Lake,"South Indian, Continental",Budget,Dhaba,303,4.0,720,40,False,0,True
R00019,Restaurant_19,Lucknow,Connaught Place,"North Indian, Mexican",Mid-Range,Casual Dining,415,3.9,807,31,False,20,True
R00020,Restaurant_20,Pune,Connaught Place,"Fast Food, Desserts, Biryani",Budget,Quick Bites,341,3.9,36,27,False,20,True
R00021,Restaurant_21,Jaipur,Salt Lake,"Continental, Fast Food, North Indian",Premium,Casual Dining,1922,3.4,748,43,False,20,True
R00022,Restaurant_22,Kolkata,Jubilee Hills,Mexican,Budget,Quick Bites,199,3.0,1178,31,False,50,True
R00023,Restaurant_23,Bangalore,Salt Lake,"Thai, South Indian",Premium,Cloud Kitchen,1865,4.8,1731,28,False,20,True
R00024,Restaurant_24,Ahmedabad,Anna Nagar,"Continental, Fast Food",Premium,Casual Dining,1016,4.3,448,55,False,0,True
R00025,Restaurant_25,Kolkata,Kothrud,"Italian, Continental, South Indian",Mid-Range,Cloud Kitchen,786,3.8,168,52,True,50,True
R00026,Restaurant_26,Chennai,Navrangpura,Fast Food,Budget,Casual Dining,100,3.7,667,30,True,50,False
R00027,Restaurant_27,Pune,Kothrud,"Fast Food, Chinese",Budget,Casual Dining,244,4.2,158,32,False,30,False
R00028,Restaurant_28,Jaipur,Koramangala,"Italian, Desserts",Budget,Cloud Kitchen,323,2.9,236,45,False,50,False
R00029,Restaurant_29,Delhi,Koramangala,South Indian,Mid-Range,Cafe,452,3.5,137,28,True,50,True
R00030,Restaurant_30,Mumbai,Connaught Place,"North Indian, Italian",Premium,Dhaba,1200,4.6,71,66,False,30,True
R00031,Restaurant_31,Kolkata,Connaught Place,"North Indian, Thai",Budget,Casual Dining,129,2.8,307,53,False,10,True
R00032,Restaurant_32,Jaipur,Malviya Nagar,"South Indian, Biryani, Thai",Mid-Range,Quick Bites,450,3.8,211,61,True,0,True
R00033,Restaurant_33,Lucknow,Salt Lake,"Continental, Italian",Mid-Range,Cloud Kitchen,749,4.1,689,34,False,40,True
R00034,Restaurant_34,Ahmedabad,Malviya Nagar,"Italian, South Indian",Mid-Range,Casual Dining,591,3.6,100,58,True,0,True
R00035,Restaurant_35,Mumbai,Anna Nagar,Fast Food,Mid-Range,Cloud Kitchen,663,3.6,225,45,False,0,True
R00036,Restaurant_36,Pune,Jubilee Hills,Mexican,Budget,Quick Bites,236,3.2,371,59,False,50,False
R00037,Restaurant_37,Hyderabad,Jubilee Hills,"Biryani, Italian, Continental",Mid-Range,Fine Dining,699,4.1,377,20,False,0,True
R00038,Restaurant_38,Bangalore,Koramangala,Chinese,Mid-Range,Quick Bites,728,3.5,62,34,False,10,True
R00039,Restaurant_39,Pune,Jubilee Hills,"Thai, Fast Food",Premium,Cloud Kitchen,1672,4.4,871,56,False,20,True
R00040,Restaurant_40,Jaipur,Anna Nagar,Biryani,Mid-Range,Casual Dining,544,4.1,242,33,True,0,True
R00041,Restaurant_41,Chennai,Navrangpura,"Thai, Fast Food, Mexican",Mid-Range,Dhaba,688,4.4,1046,52,True,20,True
R00042,Restaurant_42,Hyderabad,Gomti Nagar,"Chinese, Mexican, South Indian",Mid-Range,Cloud Kitchen,681,4.0,876,29,True,0,True
R00043,Restaurant_43,Lucknow,Salt Lake,Biryani,Budget,Cloud Kitchen,191,3.4,90,55,True,40,False
R00044,Restaurant_44,Bangalore,Connaught Place,"Chinese, Fast Food, Continental",Budget,Casual Dining,124,3.3,1281,26,True,30,True
R00045,Restaurant_45,Chennai,Salt Lake,South Indian,Mid-Range,Quick Bites,736,4.7,985,59,False,20,True
R00046,Restaurant_46,Bangalore,Jubilee Hills,"Thai, South Indian, Italian",Premium,Fine Dining,1998,3.4,375,47,False,10,True
R00047,Restaurant_47,Mumbai,Navrangpura,North Indian,Premium,Dhaba,1831,4.4,9,66,False,40,True
R00048,Restaurant_48,Delhi,Bandra,"Desserts, Biryani, South Indian",Mid-Range,Casual Dining,729,3.3,665,40,True,0,True
R00049,Restaurant_49,Delhi,Salt Lake,North Indian,Premium,Casual Dining,1704,3.4,1482,41,False,0,True
R00050,Restaurant_50,Mumbai,Kothrud,"Continental, Italian",Budget,Cloud Kitchen,103,3.3,1154,53,True,0,False
R00051,Restaurant_51,Lucknow,Gomti Nagar,Desserts,Budget,Quick Bites,386,4.1,546,26,False,30,True
R00052,Restaurant_52,Delhi,Navrangpura,"Continental, Fast Food",Budget,Casual Dining,212,4.1,471,53,False,50,True
R00053,Restaurant_53,Mumbai,Kothrud,"Biryani, Fast Food",Mid-Range,Casual Dining,472,3.4,610,59,False,0,False
R00054,Restaurant_54,Bangalore,Anna Nagar,"Thai, North Indian",Budget,Dhaba,111,2.8,710,50,False,20,True
R00055,Restaurant_55,Ahmedabad,Salt Lake,Fast Food,Budget,Cloud Kitchen,298,2.7,64,26,True,40,False
R00056,Restaurant_56,Delhi,Navrangpura,"Mexican, Biryani, North Indian",Mid-Range,Quick Bites,700,3.7,1081,62,True,30,True
R00057,Restaurant_57,Mumbai,Kothrud,Mexican,Budget,Cafe,350,3.8,36,65,False,30,True
R00058,Restaurant_58,Jaipur,Koramangala,"Chinese, Fast Food, South Indian",Budget,Casual Dining,257,3.4,133,44,True,40,True
R00059,Restaurant_59,Jaipur,Gomti Nagar,"North Indian, Desserts, Fast Food",Premium,Fine Dining,1025,4.6,359,29,True,10,True
R00060,Restaurant_60,Bangalore,Malviya Nagar,"Italian, Thai",Budget,Casual Dining,277,4.1,2804,22,False,0,True
R00061,Restaurant_61,Jaipur,Bandra,"Thai, Mexican",Budget,Cafe,269,3.6,165,34,True,20,True
R00062,Restaurant_62,Chennai,Malviya Nagar,Italian,Budget,Cloud Kitchen,336,3.6,798,59,True,0,True
R00063,Restaurant_63,Pune,Malviya Nagar,"Thai, Continental",Budget,Cloud Kitchen,259,3.7,354,58,True,0,True
R00064,Restaurant_64,Mumbai,Koramangala,"North Indian, Italian, Thai",Mid-Range,Cloud Kitchen,734,4.0,54,23,True,30,False
R00065,Restaurant_65,Chennai,Connaught Place,Continental,Premium,Dhaba,1747,4.7,574,45,True,10,False
R00066,Restaurant_66,Jaipur,Koramangala,"Biryani, North Indian, Chinese",Premium,Dhaba,1102,4.1,272,39,False,0,False
R00067,Restaurant_67,Lucknow,Gomti Nagar,"Fast Food, Biryani",Mid-Range,Dhaba,492,4.0,715,22,False,0,False
R00068,Restaurant_68,Bangalore,Bandra,"Chinese, South Indian",Budget,Quick Bites,313,3.7,798,30,False,0,True
R00069,Restaurant_69,Chennai,Koramangala,"Desserts, Continental, Biryani",Budget,Quick Bites,145,2.9,212,59,True,10,True
R00070,Restaurant_70,Jaipur,Navrangpura,Mexican,Premium,Quick Bites,808,4.1,1376,58,False,0,False
R00071,Restaurant_71,Delhi,Salt Lake,"Continental, North Indian",Mid-Range,Casual Dining,411,3.7,478,38,False,10,True
R00072,Restaurant_72,Pune,Jubilee Hills,"Desserts, Continental, North Indian",Mid-Range,Quick Bites,492,4.7,917,68,False,30,True
R00073,Restaurant_73,Pune,Gomti Nagar,"Fast Food, Biryani",Budget,Fine Dining,361,3.8,118,64,False,30,True
R00074,Restaurant_74,Ahmedabad,Kothrud,"Italian, Chinese",Premium,Casual Dining,929,4.2,50,36,False,50,True
R00075,Restaurant_75,Pune,Malviya Nagar,"Mexican, Desserts, Fast Food",Budget,Casual Dining,365,3.4,443,31,False,0,True
R00076,Restaurant_76,Pune,Kothrud,"Desserts, South Indian, Thai",Budget,Quick Bites,229,3.0,26,20,True,10,False
R00077,Restaurant_77,Mumbai,Gomti Nagar,Continental,Mid-Range,Cafe,583,3.0,379,42,True,10,True
R00078,Restaurant_78,Kolkata,Jubilee Hills,"Italian, Thai",Mid-Range,Cloud Kitchen,513,3.9,888,66,False,0,False
R00079,Restaurant_79,Mumbai,Jubilee Hills,Fast Food,Mid-Range,Casual Dining,568,3.9,418,60,True,20,True
R00080,Restaurant_80,Chennai,Koramangala,"Continental, Italian, Desserts",Budget,Casual Dining,188,3.7,228,26,False,10,True
R00081,Restaurant_81,Mumbai,Kothrud,Thai,Budget,Cafe,216,2.8,323,62,False,30,True
R00082,Restaurant_82,Kolkata,Gomti Nagar,"South Indian, Fast Food, Thai",Budget,Casual Dining,374,3.6,148,65,True,30,True
R00083,Restaurant_83,Hyderabad,Anna Nagar,"Chinese, Fast Food",Budget,Cafe,138,3.3,418,61,False,10,True
R00084,Restaurant_84,Mumbai,Navrangpura,Chinese,Mid-Range,Quick Bites,524,3.9,1151,35,False,0,True
R00085,Restaurant_85,Bangalore,Malviya Nagar,"Fast Food, Biryani, Desserts",Budget,Quick Bites,207,3.4,11,34,True,0,True
R00086,Restaurant_86,Jaipur,Jubilee Hills,"North Indian, Italian",Mid-Range,Cloud Kitchen,587,3.7,54,45,True,40,True
R00087,Restaurant_87,Ahmedabad,Anna Nagar,Thai,Budget,Casual Dining,229,3.6,1060,69,False,0,True
R00088,Restaurant_88,Chennai,Koramangala,"Mexican, Italian",Budget,Fine Dining,135,2.9,702,35,False,10,False
R00089,Restaurant_89,Ahmedabad,Malviya Nagar,"South Indian, Thai, North Indian",Mid-Range,Quick Bites,687,3.9,86,33,True,0,True
R00090,Restaurant_90,Pune,Connaught Place,"Continental, Biryani",Mid-Range,Casual Dining,741,4.8,248,31,False,0,False
R00091,Restaurant_91,Ahmedabad,Jubilee Hills,"South Indian, Mexican",Budget,Cloud Kitchen,305,3.4,990,55,False,0,False
R00092,Restaurant_92,Bangalore,Anna Nagar,"Chinese, Mexican, Continental",Mid-Range,Quick Bites,411,3.9,283,32,False,40,True
R00093,Restaurant_93,Delhi,Salt Lake,"Italian, Desserts, Continental",Premium,Quick Bites,1922,3.8,588,52,False,50,False
R00094,Restaurant_94,Hyderabad,Kothrud,North Indian,Mid-Range,Casual Dining,491,3.6,878,56,False,50,True
R00095,Restaurant_95,Chennai,Jubilee Hills,"Chinese, Continental",Budget,Dhaba,272,2.9,519,40,False,0,True
R00096,Restaurant_96,Delhi,Bandra,"Thai, Mexican",Premium,Quick Bites,1943,3.8,189,20,False,0,True
R00097,Restaurant_97,Lucknow,Gomti Nagar,Italian,Mid-Range,Cafe,486,4.1,810,54,True,50,True
R00098,Restaurant_98,Hyderabad,Navrangpura,"Fast Food, North Indian, South Indian",Mid-Range,Cloud Kitchen,719,4.3,10,51,False,40,True
R00099,Restaurant_99,Jaipur,Bandra,Biryani,Premium,Casual Dining,948,4.1,60,32,False,30,False
R00100,Restaurant_100,Lucknow,Salt Lake,"Biryani, Thai, Chinese",Mid-Range,Fine Dining,612,3.4,109,65,True,50,True
R00101,Restaurant_101,Kolkata,Jubilee Hills,North Indian,Mid-Range,Quick Bites,602,3.9,1385,48,False,0,True
R00102,Restaurant_102,Delhi,Gomti Nagar,"South Indian, Fast Food, Thai",Mid-Range,Casual Dining,422,3.8,49,63,False,30,True
R00103,Restaurant_103,Lucknow,Koramangala,Desserts,Mid-Range,Cloud Kitchen,618,3.4,386,55,True,30,True
R00104,Restaurant_104,Jaipur,Jubilee Hills,"Continental, Mexican",Budget,Fine Dining,123,4.1,248,40,True,0,True
R00105,Restaurant_105,Jaipur,Gomti Nagar,Thai,Budget,Quick Bites,353,4.1,11,38,False,0,True
R00106,Restaurant_106,Chennai,Anna Nagar,Fast Food,Budget,Quick Bites,350,4.1,661,64,True,20,True
R00107,Restaurant_107,Kolkata,Jubilee Hills,Desserts,Mid-Range,Fine Dining,597,4.2,922,56,False,10,False
R00108,Restaurant_108,Chennai,Salt Lake,"Fast Food, Continental",Mid-Range,Quick Bites,456,3.7,1568,49,True,0,True
R00109,Restaurant_109,Bangalore,Salt Lake,"Italian, Chinese, Thai",Premium,Quick Bites,995,4.5,45,34,True,20,False
R00110,Restaurant_110,Pune,Navrangpura,"Chinese, Italian",Budget,Cloud Kitchen,260,3.2,127,61,True,20,True
R00111,Restaurant_111,Delhi,Navrangpura,"Continental, Chinese",Premium,Casual Dining,821,4.3,310,67,False,30,True
R00112,Restaurant_112,Chennai,Navrangpura,"Desserts, Fast Food, South Indian",Mid-Range,Cloud Kitchen,775,4.2,1051,41,True,0,False
R00113,Restaurant_113,Lucknow,Jubilee Hills,"Biryani, Desserts",Mid-Range,Casual Dining,488,4.3,1668,31,False,0,True
R00114,Restaurant_114,Pune,Kothrud,Mexican,Budget,Fine Dining,358,3.3,353,47,True,0,False
R00115,Restaurant_115,Hyderabad,Kothrud,"Desserts, Thai",Premium,Casual Dining,1068,4.3,48,23,False,40,True
R00116,Restaurant_116,Bangalore,Gomti Nagar,Desserts,Premium,Cloud Kitchen,1781,3.8,880,47,False,0,True
R00117,Restaurant_117,Mumbai,Navrangpura,Thai,Mid-Range,Fine Dining,724,4.0,502,39,False,0,True
R00118,Restaurant_118,Kolkata,Bandra,"Biryani, Fast Food",Budget,Quick Bites,326,3.5,529,33,False,0,False
R00119,Restaurant_119,Bangalore,Gomti Nagar,Thai,Mid-Range,Cloud Kitchen,768,3.6,1694,41,False,0,False
R00120,Restaurant_120,Bangalore,Kothrud,South Indian,Budget,Cafe,219,3.5,50,49,True,20,True
R00121,Restaurant_121,Bangalore,Kothrud,Continental,Budget,Dhaba,354,3.8,17,54,True,30,True
R00122,Restaurant_122,Pune,Connaught Place,South Indian,Budget,Dhaba,107,3.2,281,31,False,10,True
