match_id,season,bowler,team,overs,wickets,runs_given,economy
1,2008,A. Mishra,Rajasthan Royals,1.3,0,9,6.92
1,2008,D. Kuldekar,Rajasthan Royals,2.4,1,14,5.83
1,2008,H. Rauf,Rajasthan Royals,3.3,0,38,11.52
1,2008,S. Nadeem,Rajasthan Royals,2.8,3,30,10.71
1,2008,W. Sundar,Rajasthan Royals,2.6,1,22,8.46
1,2008,B. Kumar,Rajasthan Royals,2.2,0,14,6.36
1,2008,M. Shami,Mumbai Indians,1.5,0,10,6.67
1,2008,T. Boult,Mumbai Indians,2.5,0,23,9.2
1,2008,A. Mishra,Mumbai Indians,3.8,0,37,9.74
1,2008,D. Kuldekar,Mumbai Indians,1.8,0,19,10.56
1,2008,M. Pathirana,Mumbai Indians,2.4,0,22,9.17
1,2008,K. Rabada,Mumbai Indians,3.9,2,36,9.23
2,2008,P. Chawla,Gujarat Titans,3.4,1,24,7.06
2,2008,R. Ashwin,Gujarat Titans,1.5,0,12,8.0
2,2008,K. Yadav,Gujarat Titans,1.2,0,13,10.83
2,2008,A. Nortje,Gujarat Titans,2.7,0,17,6.3
2,2008,K. Rabada,Gujarat Titans,3.1,2,27,8.71
2,2008,A. Mishra,Gujarat Titans,3.4,3,29,8.53
2,2008,H. Rauf,Royal Challengers Bangalore,2.3,4,26,11.3
2,2008,T. Natarajan,Royal Challengers Bangalore,3.2,2,36,11.25
2,2008,Y. Chahal,Royal Challengers Bangalore,3.9,3,23,5.9
2,2008,K. Yadav,Royal Challengers Bangalore,3.0,4,22,7.33
3,2008,P. Chawla,Chennai Super Kings,3.6,0,32,8.89
3,2008,M. Pathirana,Chennai Super Kings,2.0,0,13,6.5
3,2008,R. Ashwin,Chennai Super Kings,2.9,3,27,9.31
3,2008,J. Bumrah,Chennai Super Kings,2.1,0,17,8.1
3,2008,A. Mishra,Lucknow Super Giants,4.0,0,42,10.5
3,2008,D. Chahar,Lucknow Super Giants,2.9,0,27,9.31
3,2008,P. Chawla,Lucknow Super Giants,2.8,0,32,11.43
3,2008,D. Kuldekar,Lucknow Super Giants,4.0,3,24,6.0
3,2008,W. Sundar,Lucknow Super Giants,1.7,1,18,10.59
4,2008,D. Chahar,Delhi Capitals,3.7,2,40,10.81
4,2008,K. Yadav,Delhi Capitals,1.8,0,13,7.22
4,2008,S. Nadeem,Delhi Capitals,1.9,0,19,10.0
4,2008,D. Kuldekar,Delhi Capitals,3.9,3,26,6.67
4,2008,T. Boult,Delhi Capitals,1.6,0,11,6.88
4,2008,D. Kuldekar,Lucknow Super Giants,3.7,2,23,6.22
4,2008,S. Nadeem,Lucknow Super Giants,2.6,1,22,8.46
4,2008,B. Kumar,Lucknow Super Giants,3.0,2,27,9.0
4,2008,H. Rauf,Lucknow Super Giants,3.3,0,32,9.7
4,2008,P. Chawla,Lucknow Super Giants,2.8,0,25,8.93
5,2008,D. Chahar,Delhi Capitals,3.8,0,36,9.47
5,2008,K. Rabada,Delhi Capitals,1.1,1,9,8.18
5,2008,S. Nadeem,Delhi Capitals,3.1,1,27,8.71
5,2008,D. Kuldekar,Delhi Capitals,2.9,2,28,9.66
5,2008,R. Ashwin,Delhi Capitals,3.7,0,43,11.62
5,2008,P. Chawla,Royal Challengers Bangalore,1.7,4,11,6.47
5,2008,W. Sundar,Royal Challengers Bangalore,2.3,5,26,11.3
5,2008,M. Pathirana,Royal Challengers Bangalore,1.6,0,10,6.25
5,2008,R. Ashwin,Royal Challengers Bangalore,1.8,1,20,11.11
6,2008,J. Bumrah,Chennai Super Kings,2.1,0,17,8.1
6,2008,K. Yadav,Chennai Super Kings,2.3,1,17,7.39
6,2008,D. Chahar,Chennai Super Kings,3.9,0,43,11.03
6,2008,P. Chawla,Chennai Super Kings,2.7,1,30,11.11
6,2008,K. Rabada,Chennai Super Kings,1.7,0,10,5.88
6,2008,T. Boult,Rajasthan Royals,4.0,0,36,9.0
6,2008,A. Mishra,Rajasthan Royals,2.4,1,21,8.75
6,2008,D. Chahar,Rajasthan Royals,2.7,1,18,6.67
6,2008,H. Rauf,Rajasthan Royals,1.8,0,13,7.22
