campaign_id,start_date,end_date,duration_days,channel,segment,objective,product,region,ab_group,budget,impressions,clicks,ctr,conversions,cvr,revenue,roi,cpc,cpa,success
CAMP00001,2022-06-20,2022-07-07,17,Social Media,Dormant,Conversion,Sports,Central,A,235031,182831,29383,16.07,839,2.86,2876929,1124.06,8.0,280.13,True
CAMP00002,2022-11-30,2022-12-28,28,Email,Premium,Upsell,Fashion,West,A,13462,13617,3018,22.16,136,4.53,312714,2222.94,4.46,98.99,True
CAMP00003,2024-12-12,2024-12-21,9,Email,Dormant,Lead Generation,Food & Beverage,East,A,431370,578102,125293,21.67,5554,4.43,3108531,620.62,3.44,77.67,True
CAMP00004,2022-09-21,2022-10-04,13,Content Marketing,Returning,Lead Generation,Fashion,Central,A,308898,583445,63152,10.82,1253,1.98,2831495,816.64,4.89,246.53,True
CAMP00005,2022-02-04,2022-02-28,24,Email,Premium,Lead Generation,Food & Beverage,South,B,389815,572930,162120,28.3,9383,5.79,29936929,7579.78,2.4,41.54,True
CAMP00006,2022-10-25,2022-12-23,59,Content Marketing,New Customers,Brand Awareness,Electronics,Central,A,297508,588124,72841,12.39,1653,2.27,2879519,867.88,4.08,179.98,True
CAMP00007,2022-01-07,2022-01-24,17,Social Media,New Customers,Brand Awareness,Electronics,North,A,107432,97094,18998,19.57,660,3.48,2129701,1882.37,5.65,162.78,True
CAMP00008,2022-03-11,2022-04-09,29,Content Marketing,Premium,Upsell,Electronics,West,A,337732,600244,74002,12.33,1672,2.26,2903006,759.56,4.56,201.99,True
CAMP00009,2022-09-16,2022-10-06,20,PPC,Returning,Upsell,Beauty,North,B,251959,72642,28602,39.38,2091,7.31,1284681,409.88,8.81,120.5,True
CAMP00010,2024-09-20,2024-10-19,29,Email,New Customers,Conversion,Home & Living,Central,B,306164,388803,89604,23.05,4223,4.71,20029017,6441.92,3.42,72.5,True
CAMP00011,2022-04-26,2022-05-30,34,PPC,Premium,Retention,Fashion,Central,A,403799,100906,39476,39.12,2868,7.27,8394750,1978.94,10.23,140.79,True
CAMP00012,2023-04-13,2023-06-10,58,Influencer,At-Risk,Lead Generation,Electronics,North,A,182758,67394,9092,13.49,228,2.52,661975,262.21,20.1,801.57,True
CAMP00013,2022-03-13,2022-05-10,58,PPC,Premium,Lead Generation,Beauty,North,A,130969,40357,15024,37.23,1038,6.91,1210714,824.43,8.72,126.17,True
CAMP00014,2023-11-26,2023-12-04,8,SMS,New Customers,Upsell,Home & Living,Central,A,270157,661285,201533,30.48,7779,3.86,24637145,9019.57,1.34,34.73,True
CAMP00015,2023-11-25,2023-12-12,17,Email,Returning,Lead Generation,Food & Beverage,Central,B,410051,573732,129944,22.65,6019,4.63,16774317,3990.79,3.16,68.13,True
CAMP00016,2024-06-05,2024-07-01,26,SEO,At-Risk,Lead Generation,Home & Living,East,B,326134,567307,193136,34.04,12915,6.69,28933591,8771.69,1.69,25.25,True
CAMP00017,2024-08-18,2024-09-28,41,Content Marketing,New Customers,Lead Generation,Electronics,South,B,121989,176880,27940,15.8,809,2.9,2285312,1773.38,4.37,150.79,True
CAMP00018,2022-07-26,2022-09-11,47,Social Media,Dormant,Upsell,Sports,Central,B,181112,164567,38123,23.17,1570,4.12,7052265,3793.87,4.75,115.36,True
CAMP00019,2023-02-12,2023-03-15,31,Influencer,Premium,Brand Awareness,Home & Living,West,B,335115,107508,16658,15.49,481,2.89,1428234,326.19,20.12,696.7,True
CAMP00020,2022-12-23,2023-01-18,26,SEO,Premium,Lead Generation,Electronics,West,A,189569,416167,124250,29.86,7286,5.86,13743389,7149.81,1.53,26.02,True
CAMP00021,2024-09-19,2024-10-22,33,PPC,Returning,Conversion,Food & Beverage,Central,A,399457,114250,40910,35.81,2720,6.65,7388416,1749.61,9.76,146.86,True
CAMP00022,2024-12-25,2025-01-30,36,Email,Premium,Lead Generation,Beauty,North,A,477425,695814,147116,21.14,6362,4.32,3623507,658.97,3.25,75.04,True
CAMP00023,2022-11-19,2022-12-16,27,Content Marketing,Returning,Upsell,Beauty,West,B,103546,156594,21514,13.74,541,2.52,1177806,1037.47,4.81,191.4,True
CAMP00024,2024-12-20,2024-12-28,8,Social Media,At-Risk,Upsell,Food & Beverage,South,B,134540,102936,20173,19.6,702,3.48,3031947,2153.57,6.67,191.65,True
CAMP00025,2024-08-07,2024-08-26,19,Email,Premium,Conversion,Fashion,South,B,49981,50110,13164,26.27,707,5.37,971582,1843.9,3.8,70.69,True
CAMP00026,2023-04-26,2023-05-24,28,Email,Returning,Brand Awareness,Beauty,West,B,170794,184034,53291,28.96,3156,5.92,13492533,7799.89,3.2,54.12,True
CAMP00027,2023-07-26,2023-09-23,59,Influencer,New Customers,Brand Awareness,Food & Beverage,East,A,143056,67871,10050,14.81,277,2.76,1188081,730.5,14.23,516.45,True
CAMP00028,2024-02-22,2024-03-18,25,Email,Returning,Conversion,Home & Living,Central,B,399641,453758,112698,24.84,5725,5.08,4883732,1122.03,3.55,69.81,True
CAMP00029,2022-07-09,2022-07-16,7,Email,Dormant,Retention,Electronics,West,A,226752,253938,49059,19.32,1938,3.95,2563774,1030.65,4.62,117.0,True
CAMP00030,2022-09-29,2022-10-21,22,Content Marketing,Premium,Conversion,Sports,Central,A,87736,124009,14175,11.43,297,2.1,271189,209.1,6.19,295.41,True
CAMP00031,2024-04-15,2024-05-12,27,Email,Returning,Upsell,Sports,West,A,242001,262958,56702,21.56,2500,4.41,5733178,2269.07,4.27,96.8,True
CAMP00032,2023-07-03,2023-07-14,11,PPC,Premium,Brand Awareness,Fashion,South,B,345142,103181,47060,45.61,3986,8.47,18930040,5384.71,7.33,86.59,True
CAMP00033,2022-05-21,2022-07-17,57,Influencer,Premium,Retention,Home & Living,South,B,412113,173149,32739,18.91,1155,3.53,3963592,861.77,12.59,356.81,True
CAMP00034,2023-11-08,2023-12-07,29,Email,New Customers,Lead Generation,Food & Beverage,South,A,44882,52040,12633,24.28,627,4.97,379161,744.8,3.55,71.58,True
CAMP00035,2024-08-18,2024-09-29,42,Influencer,New Customers,Brand Awareness,Sports,South,B,214793,101986,17845,17.5,582,3.27,1400070,551.82,12.04,369.06,True
CAMP00036,2023-09-28,2023-10-27,29,PPC,Returning,Conversion,Home & Living,South,A,466071,152254,52153,34.25,3317,6.36,12866376,2660.6,8.94,140.51,True
CAMP00037,2022-12-17,2023-01-11,25,SEO,New Customers,Upsell,Food & Beverage,West,B,200708,322872,116608,36.12,8272,7.09,7534055,3653.74,1.72,24.26,True
CAMP00038,2023-05-07,2023-06-17,41,Social Media,Dormant,Upsell,Beauty,South,B,305196,259793,49142,18.92,1652,3.36,7860010,2475.4,6.21,184.74,True
CAMP00039,2024-08-30,2024-10-18,49,Influencer,New Customers,Upsell,Fashion,South,A,355857,169026,26784,15.85,792,2.96,3378939,849.52,13.29,449.31,True
CAMP00040,2024-02-13,2024-02-24,11,Influencer,At-Risk,Lead Generation,Fashion,North,B,261529,93448,16512,17.67,544,3.3,2384963,811.93,15.84,480.75,True
CAMP00041,2024-02-15,2024-03-11,25,Content Marketing,New Customers,Upsell,Sports,West,A,390801,666551,78167,11.73,1680,2.15,7692039,1868.28,5.0,232.62,True
CAMP00042,2024-04-20,2024-06-06,47,Email,Returning,Brand Awareness,Home & Living,South,B,374663,502243,117061,23.31,5580,4.77,12839596,3326.97,3.2,67.14,True
CAMP00043,2024-11-28,2025-01-20,53,PPC,New Customers,Conversion,Sports,South,A,446660,129031,51839,40.18,3867,7.46,3217670,620.38,8.62,115.51,True
CAMP00044,2023-05-13,2023-07-11,59,PPC,Dormant,Conversion,Electronics,North,B,351493,95774,41291,43.11,3306,8.01,15269238,4244.11,8.51,106.32,True
CAMP00045,2022-07-25,2022-08-26,32,SMS,New Customers,Lead Generation,Home & Living,Central,A,200251,446438,124526,27.89,4399,3.53,9332711,4560.51,1.61,45.52,True
CAMP00046,2023-10-23,2023-12-16,54,Social Media,Returning,Brand Awareness,Electronics,North,A,89682,87019,17179,19.74,602,3.51,2874007,3104.66,5.22,148.97,True
CAMP00047,2022-06-30,2022-08-08,39,SEO,Premium,Lead Generation,Food & Beverage,South,B,391025,775909,286216,36.89,20738,7.25,45526657,11542.9,1.37,18.86,True
CAMP00048,2022-02-10,2022-02-17,7,SEO,Returning,Retention,Electronics,Central,A,16699,27725,8209,29.61,477,5.82,1385474,8196.75,2.03,35.01,True
CAMP00049,2023-02-18,2023-03-17,27,SEO,Dormant,Conversion,Sports,Central,B,230766,393070,143809,36.59,10334,7.19,33355939,14354.44,1.6,22.33,True
CAMP00050,2023-06-06,2023-06-15,9,Email,Premium,Conversion,Home & Living,South,A,264880,377742,84397,22.34,3857,4.57,11664419,4303.66,3.14,68.68,True
