order_id,customer_id,order_date,category,brand,mrp,discount_pct,price_paid,rating,returned,delivery_days,city
ORD000001,C00213,2022-06-17,Women's Clothing,AND,2873,20,2298,4,False,6,Lucknow
ORD000002,C00849,2024-02-15,Women's Clothing,Biba,1426,60,570,2,True,4,Jaipur
ORD000003,C01654,2022-02-18,Footwear,Metro,6159,50,3079,5,False,3,Kolkata
ORD000004,C01069,2022-09-27,Accessories,Titan,3641,20,2912,5,False,7,Pune
ORD000005,C01301,2022-11-02,Men's Clothing,Jack & Jones,4629,40,2777,4,False,7,Mumbai
ORD000006,C01000,2022-06-23,Men's Clothing,US Polo,3628,20,2902,5,False,4,Hyderabad
ORD000007,C01450,2023-04-25,Beauty,MAC,259,40,155,4,False,5,Kolkata
ORD000008,C00375,2024-05-06,Women's Clothing,Vero Moda,3465,40,2079,3,False,5,Lucknow
ORD000009,C01199,2024-10-31,Accessories,Fossil,2673,60,1069,4,False,4,Bangalore
ORD000010,C00206,2022-03-03,Men's Clothing,H&M,2352,40,1411,4,False,7,Bangalore
ORD000011,C01494,2023-03-12,Women's Clothing,Biba,3730,60,1492,2,False,3,Kolkata
ORD000012,C01529,2024-09-28,Accessories,Baggit,375,70,112,4,False,4,Mumbai
ORD000013,C00547,2023-04-26,Sports & Fitness,Nike,2995,60,1198,4,False,5,Chennai
ORD000014,C00872,2022-08-15,Men's Clothing,H&M,1397,40,838,5,False,7,Pune
ORD000015,C01009,2024-08-05,Kids,Marks & Spencer,1398,20,1118,3,False,3,Delhi
ORD000016,C00307,2022-10-25,Women's Clothing,Vero Moda,4478,50,2239,4,False,6,Ahmedabad
ORD000017,C01788,2024-06-18,Men's Clothing,Zara,1419,30,993,3,False,4,Hyderabad
ORD000018,C01616,2024-01-22,Accessories,Fossil,366,30,256,4,True,5,Jaipur
ORD000019,C00832,2024-05-17,Sports & Fitness,Adidas,2423,10,2180,5,False,5,Delhi
ORD000020,C00451,2022-08-31,Women's Clothing,Aurelia,2054,30,1437,5,False,2,Hyderabad
ORD000021,C01676,2023-12-21,Beauty,Lakme,1194,60,477,2,False,4,Ahmedabad
ORD000022,C00290,2022-07-12,Accessories,Fastrack,1858,50,929,4,False,5,Hyderabad
ORD000023,C01233,2024-09-19,Women's Clothing,Aurelia,821,40,492,2,True,2,Chennai
ORD000024,C01297,2022-03-28,Footwear,Nike,7055,40,4233,2,False,5,Pune
ORD000025,C01785,2022-12-25,Beauty,Nykaa,862,50,431,5,False,2,Chennai
ORD000026,C01015,2022-10-08,Women's Clothing,AND,683,30,478,5,True,4,Lucknow
ORD000027,C01689,2023-05-20,Beauty,Nykaa,1219,40,731,4,False,7,Pune
ORD000028,C01693,2024-05-16,Men's Clothing,Roadster,2639,40,1583,5,False,5,Mumbai
ORD000029,C00612,2022-01-17,Footwear,Metro,8097,30,5667,5,False,4,Lucknow
ORD000030,C00501,2024-01-16,Women's Clothing,Biba,4864,60,1945,2,False,2,Delhi
ORD000031,C00854,2023-08-01,Men's Clothing,H&M,3810,60,1524,5,False,3,Ahmedabad
ORD000032,C00869,2023-02-06,Women's Clothing,Vero Moda,3620,50,1810,5,False,6,Hyderabad
ORD000033,C00397,2022-07-11,Men's Clothing,US Polo,1786,40,1071,4,False,3,Kolkata
